envio_id;transportadora_id;filial_origem_id;data_coleta;data_prometida;data_entrega;uf_origem;uf_destino;regiao_destino;distancia_km;peso_kg;valor_declarado;valor_frete;modal;categoria_produto;status;motivo
12;4;1;2024-10-01 19:28:00;2024-10-04;2024-10-04 19:28:00;SP;RJ;Sudeste;411;2.76;227.24;23.67;Rodoviário;Brinquedos;Entregue;
13;4;9;2024-12-16 12:29:00;2024-12-20;2024-12-20 12:29:00;CE;RJ;Sudeste;1383;0.36;103.33;24.98;Rodoviário;Beleza;Entregue;
14;4;8;2024-11-27 22:24:00;2024-12-02;2024-12-02 22:24:00;PE;MG;Sudeste;1968;2.18;245.11;41.9;Rodoviário;Esportes;Entregue;
15;5;2;2024-11-23 14:42:00;2024-11-26;2024-11-26 14:42:00;SP;RJ;Sudeste;462;2.2;89.01;26.3;Rodoviário;Casa e Cozinha;Entregue;
16;6;10;2024-10-26 13:10:00;2024-10-30;2024-11-02 13:10:00;BA;SP;Sudeste;1341;1.56;93.68;26.6;Rodoviário;Alimentos;Entregue;Endereço difícil acesso
17;5;9;2024-10-07 10:44:00;2024-10-12;2024-10-12 10:44:00;CE;MG;Sudeste;1709;5.06;66.49;42.33;Rodoviário;Casa e Cozinha;Entregue;
18;2;6;2024-10-24 20:58:00;2024-10-29;2024-11-03 20:58:00;RS;MA;Nordeste;1622;1.24;209.29;27.67;Rodoviário;Casa e Cozinha;Entregue;Endereço difícil acesso
19;4;3;2024-01-04 10:47:00;2024-01-06;2024-01-06 10:47:00;RJ;MG;Sudeste;178;1.11;44.74;16.61;Rodoviário;Vestuário;Entregue;
20;4;9;2024-10-23 07:43:00;2024-10-28;2024-10-31 07:43:00;CE;ES;Sudeste;2083;1.1;51.61;29.77;Rodoviário;Beleza;Entregue;Restrição de tráfego
21;5;5;2024-03-22 09:50:00;2024-03-25;2024-03-25 09:50:00;PR;GO;Centro-Oeste;652;1.4;40.76;25.41;Rodoviário;Alimentos;Entregue;
22;2;8;2024-09-11 20:46:00;2024-09-13;2024-09-17 20:46:00;PE;PE;Nordeste;52;21.15;68.27;99.49;Rodoviário;Ferramentas;Entregue;Cliente ausente
23;5;13;2024-09-13 14:57:00;2024-09-16;2024-09-16 14:57:00;PA;RN;Nordeste;2553;1.33;24.89;133.23;Aéreo;Alimentos;Entregue;
24;7;3;2024-05-08 17:05:00;2024-05-13;2024-05-13 17:05:00;RJ;CE;Nordeste;1646;4.79;195.35;37.73;Rodoviário;Esportes;Entregue;
25;3;14;2024-08-23 13:23:00;2024-08-25;2024-08-25 13:23:00;AM;DF;Centro-Oeste;2049;0.89;23.62;116.76;Aéreo;Vestuário;Entregue;
26;1;4;2024-11-14 08:49:00;2024-11-19;2024-11-19 08:49:00;MG;CE;Nordeste;2017;2.28;196.49;32.66;Rodoviário;Alimentos;Entregue;
27;5;1;2024-03-21 18:24:00;2024-03-26;2024-03-26 18:24:00;SP;AC;Norte;1606;0.56;25.54;24.58;Rodoviário;Livros;Entregue;
28;1;9;2024-11-06 18:29:00;2024-11-11;2024-11-11 18:29:00;CE;SC;Sul;1851;20.46;469.37;91.31;Rodoviário;Ferramentas;Entregue;
29;7;13;2024-09-17 20:47:00;2024-09-19;2024-09-19 20:47:00;PA;RS;Sul;1725;2.97;226.84;112.44;Aéreo;Casa e Cozinha;Entregue;
30;5;15;2024-11-12 12:47:00;2024-11-16;2024-11-16 12:47:00;MT;SC;Sul;1070;1.02;64.88;27.13;Rodoviário;Ferramentas;Entregue;
31;1;3;2024-11-18 07:37:00;2024-11-22;2024-11-22 07:37:00;RJ;GO;Centro-Oeste;923;2.48;159.5;28.69;Rodoviário;Casa e Cozinha;Entregue;
32;4;3;2024-01-23 07:26:00;2024-01-28;2024-01-28 07:26:00;RJ;PE;Nordeste;1611;1.04;58.75;34.02;Rodoviário;Vestuário;Entregue;
33;6;14;2024-09-20 20:12:00;2024-09-26;2024-09-26 20:12:00;AM;MT;Centro-Oeste;2224;11.34;292.52;62.68;Rodoviário;Esportes;Entregue;
34;5;5;2024-03-24 13:39:00;2024-03-28;2024-03-28 13:39:00;PR;BA;Nordeste;1361;1.18;31.54;23.21;Rodoviário;Alimentos;Entregue;
35;5;2;2024-10-21 13:05:00;2024-10-25;2024-10-25 13:05:00;SP;BA;Nordeste;1194;9.93;236.72;49.45;Rodoviário;Ferramentas;Entregue;
36;5;6;2024-12-07 17:31:00;2024-12-11;2024-12-11 17:31:00;RS;BA;Nordeste;1343;5.39;498.91;44.96;Rodoviário;Casa e Cozinha;Entregue;
37;5;15;2024-01-04 21:23:00;2024-01-07;2024-01-07 21:23:00;MT;SP;Sudeste;808;3.84;633.66;36.82;Rodoviário;Eletrônicos;Entregue;
38;1;15;2024-01-27 15:49:00;2024-02-02;2024-02-03 15:49:00;MT;CE;Nordeste;2155;10.39;492.26;61.62;Rodoviário;Eletrônicos;Entregue;Cliente ausente
39;1;11;2024-11-05 07:57:00;2024-11-08;2024-11-08 07:57:00;GO;SP;Sudeste;665;1.74;80.44;27.45;Rodoviário;Alimentos;Entregue;
40;2;1;2024-07-20 06:55:00;2024-07-25;2024-07-31 06:55:00;SP;PA;Norte;1712;9.66;556.43;63.38;Rodoviário;Autopeças;Entregue;Restrição de tráfego
41;1;5;2024-01-18 06:06:00;2024-01-23;2024-01-23 06:06:00;PR;PE;Nordeste;1778;11.02;127.74;70.75;Rodoviário;Eletrônicos;Entregue;
42;7;1;2024-11-01 20:52:00;2024-11-03;2024-11-03 20:52:00;SP;MT;Centro-Oeste;823;0.53;23.91;76.98;Aéreo;Beleza;Entregue;
43;7;5;2024-06-28 19:31:00;2024-07-01;2024-07-02 19:31:00;PR;SP;Sudeste;449;2.25;88.51;27.02;Rodoviário;Esportes;Entregue;Bloqueio de estrada
44;5;9;2024-02-22 07:52:00;2024-02-25;2024-02-25 07:52:00;CE;BA;Nordeste;732;0.26;189.75;20.27;Rodoviário;Vestuário;Entregue;
45;4;9;2024-12-14 09:28:00;2024-12-19;2024-12-19 09:28:00;CE;MG;Sudeste;1857;0.74;116.18;27.43;Rodoviário;Vestuário;Entregue;
46;7;15;2024-02-24 20:48:00;2024-02-26;2024-03-03 20:48:00;MT;PR;Sul;919;0.88;53.35;76.18;Aéreo;Alimentos;Entregue;Restrição de tráfego
47;7;15;2024-05-05 11:05:00;2024-05-08;2024-05-08 11:05:00;MT;GO;Centro-Oeste;603;1.34;236.9;21.17;Rodoviário;Brinquedos;Entregue;
48;1;3;2024-05-03 20:51:00;2024-05-07;2024-05-07 20:51:00;RJ;TO;Norte;1295;2.1;83.7;29.28;Rodoviário;Brinquedos;Entregue;
49;5;8;2024-12-07 17:12:00;2024-12-12;2024-12-12 17:12:00;PE;PR;Sul;1780;0.25;69.98;26.77;Rodoviário;Beleza;Entregue;
50;7;3;2024-12-31 06:31:00;2025-01-04;2025-01-04 06:31:00;RJ;PB;Nordeste;1346;5.92;505.98;48.99;Rodoviário;Autopeças;Entregue;
51;7;3;2024-10-28 06:05:00;2024-11-01;2024-11-01 06:05:00;RJ;BA;Nordeste;1069;1.96;93.2;32.76;Rodoviário;Esportes;Entregue;
52;4;3;2024-12-05 06:13:00;2024-12-09;2024-12-12 06:13:00;RJ;MT;Centro-Oeste;1179;3.41;659.14;38.73;Rodoviário;Casa e Cozinha;Entregue;Restrição de tráfego
53;4;15;2024-05-25 08:40:00;2024-05-30;2024-05-30 08:40:00;MT;SE;Nordeste;2004;4.75;86.65;50.11;Rodoviário;Eletrônicos;Entregue;
54;7;4;2024-11-29 18:38:00;2024-12-01;2024-12-01 18:38:00;MG;MG;Sudeste;158;0.84;294.15;14.19;Rodoviário;Vestuário;Entregue;
55;5;8;2024-12-09 10:40:00;2024-12-12;2024-12-12 10:40:00;PE;RN;Nordeste;355;20.86;227.67;101.57;Rodoviário;Ferramentas;Entregue;
56;5;8;2024-03-05 19:39:00;2024-03-08;2024-03-08 19:39:00;PE;SE;Nordeste;710;4.07;163.52;35.1;Rodoviário;Casa e Cozinha;Entregue;
57;1;1;2024-04-08 18:42:00;2024-04-10;2024-04-10 18:42:00;SP;SP;Sudeste;104;5.89;530.27;32.03;Rodoviário;Autopeças;Entregue;
58;4;11;2024-06-21 12:55:00;2024-06-25;2024-06-30 12:55:00;GO;MG;Sudeste;1070;0.24;41.24;18.75;Rodoviário;Beleza;Entregue;Cliente ausente
59;6;7;2024-03-27 09:59:00;2024-03-31;2024-03-31 09:59:00;SC;DF;Centro-Oeste;950;5.36;565.4;35.14;Rodoviário;Autopeças;Entregue;
60;1;8;2024-07-13 06:21:00;2024-07-14;2024-07-20 06:21:00;PE;CE;Nordeste;350;1.01;55.09;70.07;Aéreo;Livros;Entregue;Cliente ausente
61;4;2;2024-10-28 15:00:00;2024-11-01;2024-11-01 15:00:00;SP;PE;Nordeste;1483;4.53;90.57;39.47;Rodoviário;Esportes;Entregue;
62;4;10;2024-09-29 17:07:00;2024-10-03;2024-10-03 17:07:00;BA;PI;Nordeste;1046;5.83;427.43;48.42;Rodoviário;Ferramentas;Entregue;
63;4;3;2024-11-11 21:11:00;2024-11-15;2024-11-15 21:11:00;RJ;PA;Norte;1406;1.38;231.27;31.35;Rodoviário;Beleza;Entregue;
64;5;10;2024-08-18 09:14:00;2024-08-22;2024-08-22 09:14:00;BA;GO;Centro-Oeste;1349;2.46;62.08;31.67;Rodoviário;Alimentos;Entregue;
65;1;2;2024-11-10 09:34:00;2024-11-15;2024-11-15 09:34:00;SP;AM;Norte;1564;6.5;36.63;54.17;Rodoviário;Casa e Cozinha;Entregue;
66;5;2;2024-10-14 06:46:00;2024-10-17;2024-10-17 06:46:00;SP;RJ;Sudeste;491;1.43;499.98;22.01;Rodoviário;Casa e Cozinha;Entregue;
67;5;1;2024-11-17 19:11:00;2024-11-20;2024-11-20 19:11:00;SP;MG;Sudeste;653;0.88;82.05;19.12;Rodoviário;Alimentos;Entregue;
68;1;6;2024-11-04 13:27:00;2024-11-09;2024-11-13 13:27:00;RS;BA;Nordeste;1579;0.63;84.22;32.11;Rodoviário;Vestuário;Entregue;Endereço difícil acesso
69;5;7;2024-02-17 16:48:00;2024-02-20;2024-02-23 16:48:00;SC;MG;Sudeste;723;3.15;172.42;34.17;Rodoviário;Autopeças;Entregue;Volume acima da capacidade
70;2;10;2024-11-11 18:33:00;2024-11-16;2024-11-16 18:33:00;BA;MG;Sudeste;1531;1.23;82.0;25.3;Rodoviário;Beleza;Entregue;
71;4;10;2024-06-10 22:42:00;2024-06-15;2024-06-20 22:42:00;BA;DF;Centro-Oeste;1621;5.01;170.52;45.85;Rodoviário;Casa e Cozinha;Entregue;Falta de motorista
72;4;14;2024-01-16 18:06:00;2024-01-22;2024-01-22 18:06:00;AM;PI;Nordeste;2700;32.71;101.31;127.79;Rodoviário;Autopeças;Entregue;
73;5;12;2024-09-19 16:22:00;2024-09-24;2024-09-24 16:22:00;DF;PA;Norte;1702;0.48;84.9;29.19;Rodoviário;Vestuário;Entregue;
74;4;12;2024-09-08 19:35:00;2024-09-14;2024-09-14 19:35:00;DF;RN;Nordeste;2174;0.83;102.32;34.5;Rodoviário;Vestuário;Entregue;
75;4;1;2024-12-04 20:16:00;2024-12-07;2024-12-10 20:16:00;SP;PR;Sul;342;8.48;170.17;51.54;Rodoviário;Ferramentas;Entregue;Cliente ausente
76;4;8;2024-06-03 18:38:00;2024-06-08;2024-06-08 18:38:00;PE;RJ;Sudeste;1686;2.76;26.14;36.56;Rodoviário;Livros;Entregue;
77;4;9;2024-12-21 14:59:00;2024-12-26;2024-12-26 14:59:00;CE;RS;Sul;2011;0.26;188.66;24.75;Rodoviário;Beleza;Entregue;
78;1;10;2024-11-12 21:15:00;2024-11-16;2024-11-16 21:15:00;BA;RS;Sul;1317;1.48;72.71;30.16;Rodoviário;Vestuário;Entregue;
79;6;9;2024-11-26 08:20:00;2024-11-28;2024-11-28 08:20:00;CE;PI;Nordeste;129;1.13;122.85;14.55;Rodoviário;Brinquedos;Entregue;
80;3;9;2024-03-31 18:32:00;2024-04-02;2024-04-02 18:32:00;CE;SP;Sudeste;1736;13.74;217.39;251.01;Aéreo;Eletrônicos;Entregue;
81;1;1;2024-05-21 07:50:00;2024-05-24;2024-05-24 07:50:00;SP;SC;Sul;553;11.73;197.07;66.89;Rodoviário;Autopeças;Entregue;
82;1;12;2024-07-31 12:43:00;2024-08-05;2024-08-05 12:43:00;DF;PI;Nordeste;1532;2.21;312.99;33.02;Rodoviário;Casa e Cozinha;Entregue;
83;5;4;2024-10-28 19:38:00;2024-11-01;2024-11-01 19:38:00;MG;BA;Nordeste;1353;0.72;78.32;29.39;Rodoviário;Beleza;Entregue;
84;1;6;2024-05-03 13:06:00;2024-05-09;2024-05-09 13:06:00;RS;MA;Nordeste;2328;0.99;217.59;35.88;Rodoviário;Brinquedos;Entregue;
85;7;3;2024-01-04 08:13:00;2024-01-06;2024-01-06 08:13:00;RJ;MT;Centro-Oeste;1309;2.71;41.28;98.95;Aéreo;Alimentos;Entregue;
86;7;3;2024-08-02 16:48:00;2024-08-04;2024-08-04 16:48:00;RJ;MG;Sudeste;219;1.97;85.39;24.19;Rodoviário;Esportes;Entregue;
87;1;14;2024-05-05 17:45:00;2024-05-11;2024-05-11 17:45:00;AM;ES;Sudeste;2131;1.07;70.96;31.87;Rodoviário;Beleza;Entregue;
88;4;9;2024-06-04 11:56:00;2024-06-09;2024-06-09 11:56:00;CE;RS;Sul;1844;5.85;268.32;43.13;Rodoviário;Casa e Cozinha;Entregue;
89;1;1;2024-02-11 06:23:00;2024-02-14;2024-02-14 06:23:00;SP;GO;Centro-Oeste;668;1.78;20;21.9;Rodoviário;Livros;Entregue;
90;4;4;2024-08-28 08:38:00;2024-09-02;2024-09-02 08:38:00;MG;CE;Nordeste;1532;2.79;310.87;39.01;Rodoviário;Casa e Cozinha;Entregue;
91;1;12;2024-01-25 06:14:00;2024-01-28;2024-01-28 06:14:00;DF;RJ;Sudeste;743;8.12;277.3;45.57;Rodoviário;Eletrônicos;Entregue;
92;4;6;2024-11-29 20:02:00;2024-12-04;2024-12-05 20:02:00;RS;TO;Norte;1597;14.45;902.93;69.02;Rodoviário;Autopeças;Entregue;Restrição de tráfego
93;4;11;2024-06-29 11:20:00;2024-07-02;2024-07-02 11:20:00;GO;SP;Sudeste;626;0.8;37.56;22.27;Rodoviário;Beleza;Entregue;
94;5;15;2024-03-02 06:34:00;2024-03-07;2024-03-07 06:34:00;MT;TO;Norte;1800;0.75;59.41;31.96;Rodoviário;Livros;Entregue;
95;1;14;2024-10-05 19:32:00;2024-10-11;2024-10-11 19:32:00;AM;BA;Nordeste;2296;6.0;77.24;54.99;Rodoviário;Casa e Cozinha;Entregue;
96;5;1;2024-07-20 07:16:00;2024-07-23;2024-07-23 07:16:00;SP;PR;Sul;345;2.61;128.86;26.72;Rodoviário;Esportes;Entregue;
97;3;9;2024-01-05 13:55:00;2024-01-07;2024-01-07 13:55:00;CE;GO;Centro-Oeste;1642;0.48;50.17;98.29;Aéreo;Livros;Entregue;
98;5;11;2024-07-03 08:03:00;2024-07-08;2024-07-13 08:03:00;GO;MA;Nordeste;2092;0.95;135.5;36.43;Rodoviário;Vestuário;Entregue;Cliente ausente
99;1;5;2024-09-17 13:59:00;2024-09-18;2024-09-18 13:59:00;PR;RJ;Sudeste;526;1.05;184.62;75.08;Aéreo;Casa e Cozinha;Entregue;
100;7;3;2024-04-24 15:55:00;2024-04-29;2024-04-29 15:55:00;RJ;MA;Nordeste;1788;7.8;227.26;52.68;Rodoviário;Ferramentas;Entregue;
101;5;12;2024-10-01 22:38:00;2024-10-04;2024-10-04 22:38:00;DF;SP;Sudeste;801;1.54;114.32;21.39;Rodoviário;Brinquedos;Entregue;
102;1;12;2024-10-30 13:16:00;2024-11-01;2024-11-03 13:16:00;DF;DF;Centro-Oeste;211;10.13;408.53;57.98;Rodoviário;Eletrônicos;Entregue;Falha na roteirização
103;4;4;2024-09-05 07:44:00;2024-09-08;2024-09-08 07:44:00;MG;RJ;Sudeste;330;0.54;25.01;14.88;Rodoviário;Brinquedos;Entregue;
104;3;1;2024-04-07 16:17:00;2024-04-09;2024-04-13 16:17:00;SP;PA;Norte;1281;0.26;107.11;77.43;Aéreo;Vestuário;Entregue;Endereço difícil acesso
105;1;11;2024-11-01 08:39:00;2024-11-06;2024-11-06 08:39:00;GO;SE;Nordeste;1660;0.68;38.63;27.53;Rodoviário;Beleza;Entregue;
106;1;8;2024-02-05 06:05:00;2024-02-09;2024-02-09 06:05:00;PE;SP;Sudeste;1376;0.42;20.63;23.62;Rodoviário;Livros;Entregue;
107;2;5;2024-01-10 09:35:00;2024-01-11;2024-01-14 09:35:00;PR;RJ;Sudeste;577;6.14;288.06;126.85;Aéreo;Ferramentas;Entregue;Falha na roteirização
108;4;2;2024-12-29 12:33:00;2025-01-02;2025-01-02 12:33:00;SP;AL;Nordeste;1447;1.98;40.32;35.6;Rodoviário;Vestuário;Entregue;
109;4;11;2024-06-10 07:10:00;2024-06-13;2024-06-13 07:10:00;GO;SP;Sudeste;650;0.2;146.31;17.73;Rodoviário;Beleza;Entregue;
110;5;9;2024-01-17 16:00:00;2024-01-21;2024-01-27 16:00:00;CE;SP;Sudeste;1470;2.81;125.52;33.59;Rodoviário;Esportes;Entregue;Bloqueio de estrada
111;4;10;2024-08-28 13:28:00;2024-09-05;2024-09-10 13:28:00;BA;RR;Norte;3429;1.16;110.98;44.18;Rodoviário;Livros;Entregue;Bloqueio de estrada
112;1;6;2024-10-19 12:51:00;2024-10-25;2024-10-26 12:51:00;RS;AM;Norte;2675;2.47;42.65;41.01;Rodoviário;Alimentos;Entregue;Cliente ausente
113;5;2;2024-07-26 09:19:00;2024-07-29;2024-07-29 09:19:00;SP;GO;Centro-Oeste;664;1.9;66.22;21.99;Rodoviário;Alimentos;Entregue;
114;1;12;2024-07-20 14:20:00;2024-07-24;2024-07-24 14:20:00;DF;MG;Sudeste;1096;1.16;231.97;23.62;Rodoviário;Vestuário;Entregue;
115;7;1;2024-10-20 20:48:00;2024-10-22;2024-10-22 20:48:00;SP;SP;Sudeste;230;4.86;859.77;30.9;Rodoviário;Autopeças;Entregue;
116;7;9;2024-07-18 20:07:00;2024-07-23;2024-07-23 20:07:00;CE;SP;Sudeste;1705;3.99;357.08;44.15;Rodoviário;Casa e Cozinha;Entregue;
117;2;13;2024-07-27 21:18:00;2024-08-03;2024-08-03 21:18:00;PA;PE;Nordeste;2775;2.85;552.68;50.09;Rodoviário;Eletrônicos;Entregue;
118;1;8;2024-12-21 12:48:00;2024-12-23;2024-12-23 12:48:00;PE;MG;Sudeste;1363;4.26;900.85;104.9;Aéreo;Eletrônicos;Entregue;
119;5;5;2024-07-25 11:57:00;2024-07-30;2024-07-30 11:57:00;PR;PE;Nordeste;1831;0.22;158.53;30.82;Rodoviário;Livros;Entregue;
120;1;15;2024-03-09 18:33:00;2024-03-14;2024-03-14 18:33:00;MT;SE;Nordeste;1933;6.26;119.16;57.62;Rodoviário;Autopeças;Entregue;
121;4;2;2024-10-01 22:17:00;2024-10-05;2024-10-05 22:17:00;SP;AC;Norte;1489;0.33;70.17;21.71;Rodoviário;Livros;Entregue;
122;5;13;2024-10-16 06:37:00;2024-10-20;2024-10-20 06:37:00;PA;PR;Sul;1326;6.1;238.21;41.17;Rodoviário;Autopeças;Entregue;
123;6;4;2024-01-29 19:57:00;2024-02-01;2024-02-01 19:57:00;MG;SP;Sudeste;606;2.91;319.12;31.18;Rodoviário;Esportes;Entregue;
124;4;4;2024-12-17 10:35:00;2024-12-23;2024-12-23 10:35:00;MG;CE;Nordeste;2109;12.76;228.42;67.52;Rodoviário;Ferramentas;Entregue;
125;4;4;2024-10-25 12:21:00;2024-10-29;2024-10-29 12:21:00;MG;MT;Centro-Oeste;1220;5.07;479.6;37.86;Rodoviário;Autopeças;Entregue;
126;5;14;2024-10-02 17:02:00;2024-10-08;2024-10-08 17:02:00;AM;BA;Nordeste;2482;18.28;548.86;101.1;Rodoviário;Autopeças;Entregue;
127;6;6;2024-06-16 10:02:00;2024-06-19;2024-06-23 10:02:00;RS;SC;Sul;487;1.37;20;21.46;Rodoviário;Brinquedos;Entregue;Falha na roteirização
128;1;9;2024-10-10 11:15:00;2024-10-13;2024-10-13 11:15:00;CE;CE;Nordeste;326;31.08;157.2;124.23;Rodoviário;Ferramentas;Entregue;
129;5;11;2024-12-29 21:47:00;2025-01-01;2025-01-01 21:47:00;GO;RJ;Sudeste;682;5.13;345.05;31.56;Rodoviário;Ferramentas;Entregue;
130;4;12;2024-05-06 14:45:00;2024-05-09;2024-05-09 14:45:00;DF;RJ;Sudeste;834;1.79;94.38;21.73;Rodoviário;Brinquedos;Entregue;
131;2;11;2024-10-17 07:01:00;2024-10-21;2024-10-21 07:01:00;GO;RS;Sul;1155;3.64;47.03;40.23;Rodoviário;Ferramentas;Entregue;
132;5;7;2024-08-01 19:33:00;2024-08-03;2024-08-07 19:33:00;SC;SC;Sul;292;0.66;137.85;18.17;Rodoviário;Beleza;Entregue;Cliente ausente
133;2;15;2024-08-13 20:31:00;2024-08-19;2024-08-20 20:31:00;MT;BA;Nordeste;2224;0.26;32.33;29.65;Rodoviário;Livros;Entregue;Falta de motorista
134;4;11;2024-09-18 21:16:00;2024-09-22;2024-09-22 21:16:00;GO;BA;Nordeste;1418;2.38;295.74;37.19;Rodoviário;Casa e Cozinha;Entregue;
135;1;7;2024-11-17 20:49:00;2024-11-18;2024-11-18 20:49:00;SC;SC;Sul;346;0.86;22.53;55.88;Aéreo;Vestuário;Entregue;
136;1;2;2024-08-31 11:24:00;2024-09-02;2024-09-02 11:24:00;SP;BA;Nordeste;1211;5.68;213.72;120.22;Aéreo;Ferramentas;Entregue;
137;1;12;2024-06-02 13:05:00;2024-06-07;2024-06-07 13:05:00;DF;SE;Nordeste;1861;0.65;88.52;32.62;Rodoviário;Alimentos;Entregue;
138;4;1;2024-01-09 16:35:00;2024-01-12;2024-01-12 16:35:00;SP;DF;Centro-Oeste;760;3.23;107.24;25.21;Rodoviário;Casa e Cozinha;Entregue;
139;2;2;2024-10-25 14:35:00;2024-10-29;2024-10-30 14:35:00;SP;PE;Nordeste;1237;0.61;103.85;25.49;Rodoviário;Vestuário;Entregue;Cliente ausente
140;4;10;2024-11-17 15:00:00;2024-11-21;2024-11-21 15:00:00;BA;MT;Centro-Oeste;1452;3.38;155.29;37.56;Rodoviário;Casa e Cozinha;Entregue;
141;2;9;2024-08-12 21:51:00;2024-08-17;2024-08-20 21:51:00;CE;DF;Centro-Oeste;2055;6.86;275.04;47.36;Rodoviário;Autopeças;Entregue;Cliente ausente
142;1;5;2024-09-01 21:16:00;2024-09-04;2024-09-04 21:16:00;PR;SC;Sul;336;3.42;335.14;31.72;Rodoviário;Eletrônicos;Entregue;
143;6;9;2024-03-18 20:29:00;2024-03-23;2024-03-23 20:29:00;CE;GO;Centro-Oeste;1729;0.86;38.51;33.21;Rodoviário;Livros;Entregue;
144;1;7;2024-12-23 20:03:00;2024-12-26;2024-12-26 20:03:00;SC;SP;Sudeste;630;3.54;68.3;29.45;Rodoviário;Brinquedos;Entregue;
145;2;5;2024-07-13 17:36:00;2024-07-18;2024-07-19 17:36:00;PR;PA;Norte;1549;0.85;39.39;25.69;Rodoviário;Alimentos;Entregue;Bloqueio de estrada
146;1;2;2024-08-30 09:08:00;2024-09-02;2024-09-05 09:08:00;SP;BA;Nordeste;868;4.62;101.32;32.1;Rodoviário;Casa e Cozinha;Entregue;Restrição de tráfego
147;5;2;2024-06-14 15:50:00;2024-06-19;2024-06-19 15:50:00;SP;AM;Norte;1951;0.56;80.48;34.35;Rodoviário;Livros;Entregue;
148;5;10;2024-07-05 18:22:00;2024-07-13;2024-07-13 18:22:00;BA;AM;Norte;3380;3.58;44.1;61.66;Rodoviário;Vestuário;Entregue;
149;4;5;2024-03-29 18:15:00;2024-03-31;2024-03-31 18:15:00;PR;RN;Nordeste;2058;0.8;47.81;90.85;Aéreo;Vestuário;Entregue;
150;4;15;2024-11-08 15:49:00;2024-11-10;2024-11-10 15:49:00;MT;SP;Sudeste;916;1.5;20.21;92.96;Aéreo;Esportes;Entregue;
151;5;12;2024-03-14 09:37:00;2024-03-18;2024-03-18 09:37:00;DF;RJ;Sudeste;919;1.48;156.97;23.51;Rodoviário;Brinquedos;Entregue;
152;5;15;2024-04-16 06:25:00;2024-04-21;2024-04-21 06:25:00;MT;AL;Nordeste;1790;7.7;42.98;45.95;Rodoviário;Casa e Cozinha;Entregue;
153;1;5;2024-05-17 10:09:00;2024-05-20;2024-05-20 10:09:00;PR;SC;Sul;433;0.44;48.45;16.01;Rodoviário;Livros;Entregue;
154;7;1;2024-10-20 19:33:00;2024-10-25;2024-10-25 19:33:00;SP;CE;Nordeste;1745;0.66;52.25;28.91;Rodoviário;Alimentos;Entregue;
155;4;5;2024-10-15 10:40:00;2024-10-19;2024-10-19 10:40:00;PR;PB;Nordeste;1307;5.18;249.61;36.01;Rodoviário;Esportes;Entregue;
156;4;4;2024-03-02 21:20:00;2024-03-07;2024-03-07 21:20:00;MG;BA;Nordeste;1576;0.75;55.23;25.4;Rodoviário;Vestuário;Entregue;
157;1;11;2024-06-02 16:06:00;2024-06-08;2024-06-08 16:06:00;GO;PI;Nordeste;2242;19.03;208.79;98.1;Rodoviário;Autopeças;Entregue;
158;4;5;2024-11-28 11:55:00;2024-11-30;2024-11-30 11:55:00;PR;PR;Sul;114;2.98;473.28;24.15;Rodoviário;Casa e Cozinha;Entregue;
159;1;1;2024-10-19 07:49:00;2024-10-22;2024-10-22 07:49:00;SP;MG;Sudeste;673;2.08;80.69;27.67;Rodoviário;Vestuário;Entregue;
